,,,,,,,,,,,,,,,,,,
AvgCommunicate_57992_Content_1,abGc,avg通讯器聊天表_AvgCommunicate_A_M.csv,494,AvgCommunicate,Content,哈姆林,这里的音乐教室堪称简陋。,The music room here can only be called rudimentary.,Музыкальный класс здесь можно назвать скромным.,El aula de música aquí es bastante simple,ここにある音楽室は簡陋だ。,여기의 음악 교실은 상당히 초라하다.,La salle de musique ici est rudimentaire,Der Musikraum hier ist ziemlich einfach,Aqui a sala de música é muito simples,ห้องดนตรีที่นี่ค่อนข้างเรียบง่าย,Ruang musik di sini bisa dianggap sangat sederhana.,Phòng học nhạc ở đây có thể nói là thô sơ.
AvgCommunicate_67000_Content_2,acaq,avg通讯器聊天表_AvgCommunicate_A_M.csv,1772,AvgCommunicate,Content,玩家,你真是太客气了，哈姆林，我这种半吊子哪有资格来点评你的作品啊。,"“You're too kind, Hameln,. How can a half-baked amateur like me be qualified to critique your work?”","Вы слишком вежливы, Хамлин, какой у меня, любителя, право оценивать вашу работу.","Eres realmente muy cortés, Hameln, ¿cómo podría un aficionado como yo comentar sobre tu trabajo?",あなたは本当に丁寧ですね、ハムリン。私みたいな半端者に、あなたの作品を評価する資格なんてありませんよ。,"너 정말 너무 겸손해, 함린. 나 같은 반쪽짜리가 당신의 작품을 평가할 자격이 어디 있어.","Tu es vraiment trop poli, Hameln, je ne suis qu'un amateur, je n'ai pas le droit de donner un avis sur ton travail","Du bist wirklich zu höflich, Hameln, ich habe nicht das Recht, dein Werk zu beurteilen","Você é realmente muito educado, Hameln, eu, como um amador, não tenho qualificação para comentar sobre seu trabalho",คุณสุภาพเกินไปแล้ว แฮมลิน ฉันที่เป็นแค่มือสมัครเล่นจะไปมีสิทธิ์อะไรมาวิจารณ์ผลงานของคุณได้ล่ะ,"Kamu terlalu sopan, Hameln. Seseorang seperti aku yang hanya setengah-setengah mana mungkin punya hak untuk menilai karyamu.","Anh thật là khiêm tốn, Hamlin. Tôi chỉ là kẻ nghiệp dư, làm sao đủ tư cách để nhận xét tác phẩm của anh được."
AvgCommunicate_67000_Content_3,acar,avg通讯器聊天表_AvgCommunicate_A_M.csv,1773,AvgCommunicate,Content,哈姆林,不，不必妄自菲薄，你的建议是我创作最大的动力。,"“No, don’t downplay your significance; your suggestions are my greatest source of creative motivation.”","Нет, не стоит недооценивать себя, твои предложения вдохновляют меня больше всего.","No, no te menosprecies, tus sugerencias son la mayor motivación para mi creación",いいえ、卑下することはありません。あなたの提案が私の創作活動の最大の動力です。,"아니요, 자신을 낮추지 마세요. 당신의 제안이 저의 창작의 가장 큰 동력입니다.","Non, tu ne dois pas être trop modeste, tes suggestions sont ma plus grande inspiration dans la création","Nein, du solltest nicht über dich selbst herziehen, dein Vorschlag ist meine größte Motivation zum Schaffen","Não, não se menospreze, suas sugestões são minha maior motivação para criar",ไม่เลย อย่าดูถูกตัวเอง คำแนะนำของคุณเป็นแรงบันดาลใจสำคัญที่สุดสำหรับการสร้างสรรค์ผลงานของฉัน,"Tidak, jangan meremehkan dirimu sendiri. Saranmu adalah sumber motivasi terbesar bagi kreativitasku.","Không, đừng đánh giá thấp bản thân một cách không cần thiết, đề xuất của bạn là động lực lớn nhất cho tôi sáng tạo."
AvgCommunicate_67000_Option_4,acaE,avg通讯器聊天表_AvgCommunicate_A_M.csv,1774,AvgCommunicate,Option,玩家,有这么夸张吗？,Really?,Неужели это так ужасно?,¿Es tan exagerado?,それほど大げさですか？,이렇게 과장되나요?,Est-ce vraiment si exagéré ?,Ist das wirklich so übertrieben?,É tão exagerado assim?,มันเกินจริงขนาดนั้นเลยหรือไหม,Apakah benar-benar se-exaggerated itu?,Có đến mức đó sao?
AvgCommunicate_67000_Content_4,acas,avg通讯器聊天表_AvgCommunicate_A_M.csv,1774,AvgCommunicate,Content,玩家,有这么夸张吗？不过，虽然很不好意思说，其实我每次听你新作的曲子都会听睡着……,"“Really? Because I must shamefully admit, however, that I always fall asleep while listening to your new compositions...”","Настолько ли это преувеличено? Однако, хотя мне и неловко это говорить, но каждый раз, когда я слушаю твои новые произведения, я начинаю дремать..","¿Es tan exagerado? Sin embargo, aunque me da un poco de vergüenza decirlo, cada vez que escucho una nueva canción tuya, ¡me duermo",そんなに大げさですか？でも、恥ずかしいですが、実はあなたの新しい曲を聞くたびに眠ってしまう……,"이렇게까지 과장되나? 하지만, 좀 부끄럽지만 사실 당신의 새로운 곡을 들을 때마다 잠이 들어버려요…","Est-ce vraiment si exagéré ? Mais, bien que ce soit embarrassant à dire, en fait, chaque fois que j'écoute tes nouvelles compositions, je finis par m'endormir","Ist das wirklich so übertrieben? Aber, auch wenn es mir leid tut zu sagen, ich schlafe tatsächlich jedes Mal ein, wenn ich deine neuen Stücke höre","É tão exagerado assim? Mas, embora eu esteja envergonhado em dizer isso, na verdade, sempre acabo dormindo ao ouvir suas novas composições",มันเว่อร์ขนาดนั้นเลยเหรอ? แต่ถึงแม้จะรู้สึกเขินที่จะพูด จริงๆ แล้วทุกครั้งที่ฉันฟังเพลงใหม่ของคุณ ฉันมักจะหลับไปตอนฟัง..,"Apa benar se-exaggerated begitu? Namun, meskipun agak malu untuk mengatakannya, sebenarnya setiap kali aku mendengarkan lagu baru yang kamu buat, aku selalu tertidur…","Có phải vậy không? Tuy nhiên, mặc dù rất ngại nói, nhưng thực tế là mỗi lần nghe bài hát mới của bạn tôi đều nghe đến ngủ quên"
AvgCommunicate_67000_Content_5,acat,avg通讯器聊天表_AvgCommunicate_A_M.csv,1775,AvgCommunicate,Content,玩家,你的曲子是很优美，演奏也无可挑剔，就是每次我都像着了魔一样很快就睡晕过去了，可能我真的没有什么音乐天赋吧。,"“Your music is hauntingly beautiful and flawlessly performed, yet it casts some sedative magic on me and I fall asleep instantly. Perhaps I truly lack a musical ear.”","Ваша музыка очень красива, исполнение безупречно, просто каждый раз я почти мгновенно засыпаю, словно околдованный. Наверное, у меня действительно нет музыкального таланта.","Tu pieza es hermosa, la interpretación es impecable, solo que cada vez que la escucho, me quedo dormido casi inmediatamente, tal vez realmente no tengo talento musical",あなたの曲はとても美しく、演奏も完璧ですが、毎回私はまるで魔法にかかったようにすぐに眠気を催してしまいます。きっと私は音楽の才能がないのでしょう。,"당신의 곡은 매우 아름답고, 연주도 흠잡을 데 없지만, 매번 제가 마치 마법에 걸린 것처럼 혼미해져서 잠이 듭니다. 아마도 제게는 정말 음악 재능이 없는 것 같아요.","Ta mélodie est belle, ton interprétation impeccable, mais je m'endors très vite à chaque fois comme si j'étais ensorcelé, peut-être que je n'ai vraiment aucun talent musical","Dein Stück ist sehr schön, die Aufführung ist tadellos, aber jedes Mal schlafe ich wie verzaubert sehr schnell ein, vielleicht habe ich wirklich kein musikalisches Talent","Sua música é muito bonita, a execução é impecável, mas sempre que escuto, eu rapidamente adormeço como se estivesse sob um feitiço, talvez eu realmente não tenha talento musical",เพลงของเธอก็ไพเราะดีนะ การบรรเลงก็ไม่มีที่ติ แต่ทุกครั้งฉันกลับเหมือนโดนสะกดจนเผลอหลับไปโดยไม่รู้ตัว อาจจะเป็นเพราะฉันไม่มีพรสวรรค์ทางดนตรีจริงๆ ก็ได้,"Lagumu memang sangat indah, dan penampilanmu juga tanpa cela. Namun, setiap kali aku mendengarnya, aku seperti terhipnotis dan langsung tertidur tak lama kemudian. Mungkin aku benar-benar tidak memiliki bakat musik.","Bản nhạc của bạn rất đẹp, cách chơi cũng không có gì để chê trách. Chỉ là mỗi lần nghe, tôi đều như bị mê hoặc và nhanh chóng thiếp đi. Có lẽ tôi thực sự không có tài năng âm nhạc."
AvgCommunicate_67000_Content_6,acau,avg通讯器聊天表_AvgCommunicate_A_M.csv,1776,AvgCommunicate,Content,哈姆林,不，这正是我想要的。,"“No, that is exactly what I want.”","Нет, это именно то, что я хотел.","No, eso es exactamente lo que quería",いいえ、これこそが私が欲しかったものです。,"아니요, 이거야말로 제가 원하던 것입니다.","Non, c'est exactement ce que je voulais","Nein, das ist genau das, was ich wollte","Não, é exatamente isso que eu queria",ไม่ นี่คือสิ่งที่ฉันต้องการพอดี。,"Tidak, ini memang apa yang aku inginkan.","Không, đây chính là điều tôi muốn."
AvgCommunicate_67000_Content_7,acav,avg通讯器聊天表_AvgCommunicate_A_M.csv,1777,AvgCommunicate,Content,哈姆林,能为你带来安眠，正是我的使命与职责。,Being able to bring you restful sleep is my mission and duty.,Моя миссия и обязанность — дарить вам спокойный сон.,Mi misión es traerle paz y sueño,あなたに安眠をもたらすことが、私の使命であり責任です。,편안한 잠을 가져다주는 것이 바로 제 사명과 의무입니다.,"Apporter un sommeil paisible, c'est ma mission et mon devoir","Es ist meine Mission und Pflicht, dir einen erholsamen Schlaf zu bringen",Ajudar você a ter um sono tranquilo é a minha missão e dever,การมอบความสงบสุขให้คุณคือหน้าที่อันทรงเกียรติและภารกิจของฉัน,Membawakanmu tidur nyenyak adalah misi dan tugas saya.,"Mang lại giấc ngủ yên bình cho bạn, chính là sứ mệnh và trách nhiệm của tôi."
AvgCommunicate_67000_Content_8,acaw,avg通讯器聊天表_AvgCommunicate_A_M.csv,1778,AvgCommunicate,Content,哈姆林,不如说，请你具体描述不同曲子为你带来的感受，以及听完后的睡眠质量，入睡的速度和睡眠时长等等。,"“Rather, please describe in detail the feelings that different pieces bring you, as well as your post-listening sleep quality, how long it takes to fall asleep, and the duration of your sleep, etc.”","Скорее, опиши конкретно, какие чувства вызывают у тебя разные мелодии, а также качество сна после прослушивания, скорость засыпания и продолжительность сна и так далее.","Más bien, por favor describe en detalle cómo diferentes piezas te hacen sentir y la calidad de sueño después de escucharlas, la velocidad de conciliar el sueño y la duración del sueño, etc",むしろ、異なる曲がもたらす具体的な感情や、聴いた後の睡眠の質、入眠の速さ、睡眠時間などを詳しく説明してください。,"오히려 다양한 곡들이 당신에게 어떤 감정을 주었는지, 그리고 듣고 난 후의 수면 질, 잠에 드는 속도와 수면 시간 등을 구체적으로 설명해 주세요.","Mieux vaut que tu décrives spécifiquement les sensations que chaque morceau t'apporte, ainsi que la qualité de ton sommeil après l'écoute, le temps qu'il te faut pour t'endormir et la durée de ton sommeil, etc","Oder besser, bitte beschreibe konkret, welche Gefühle dir verschiedene Stücke bringen und wie die Schlafqualität, das Einschlafen und die Schlafdauer nach dem Hören sind","Na verdade, descreva especificamente como diferentes músicas trazem sensações para você e a qualidade do seu sono após ouvi-las, como a rapidez para adormecer e a duração do sono, etc",หรืออธิบายอย่างละเอียดว่าแต่ละเพลงทำให้คุณรู้สึกอย่างไร รวมถึงคุณภาพการนอนหลับ ความเร็วในการหลับ และระยะเวลาการนอนเป็นต้น,"Sebaiknya, jelaskan secara spesifik perasaan yang muncul saat mendengarkan melodi yang berbeda, serta kualitas tidur setelah mendengarkannya, kecepatan untuk tertidur, dan durasi tidur, dan sebagainya.","Hãy mô tả cụ thể hơn về cảm nhận của bạn khi nghe các bản nhạc khác nhau, và chất lượng giấc ngủ, tốc độ đi vào giấc ngủ và thời gian ngủ sau khi nghe."
AvgCommunicate_67000_Content_10,acan,avg通讯器聊天表_AvgCommunicate_A_M.csv,1780,AvgCommunicate,Content,哈姆林,啊，这样的要求确实有些苛刻，是我考虑不周。,"“Ah, such requests are rather austere. My apologies for being inconsiderate.”","Ах, такие требования действительно довольно суровы, это моя недоработка.","¡Ah, esta solicitud es un poco excesiva, no pensé con cuidado!",あ、そんな要求は確かに厳しいですね。私の考えが足りませんでした。,"아, 이런 요구사항은 확실히 좀 까다롭네요, 제 고려가 부족했습니다.","Ah, une telle demande est effectivement un peu excessive, c'est moi qui n'ai pas bien réfléchi","Ah, such a request is indeed a bit harsh; it was my oversight","Ah, esse pedido é um pouco severo, sou eu que não pensei bem",อา ข้อเรียกร้องแบบนี้ค่อนข้างเข้มงวด ดูเหมือนว่าฉันจะพิจารณาไม่รอบคอบ,"Ah, permintaan seperti itu memang agak berat. Ini kesalahan saya karena kurang mempertimbangkan.","À, yêu cầu như vậy quả thực có phần khắt khe, là do tôi đã không cân nhắc kỹ lưỡng."
AvgCommunicate_67000_Content_11,acao,avg通讯器聊天表_AvgCommunicate_A_M.csv,1781,AvgCommunicate,Content,哈姆林,不如下次就让我在你的床前演奏，让我来细致记录你的睡眠吧。,How about next time I play by your bedside and you allow me to observe and record your sleep.,"Может быть, в следующий раз я сыграю у твоей кровати и подробно опишу твой сон.","La próxima vez, ¿por qué no toco cerca de tu cama? Déjame registrar tus sueños con detalle",次回はあなたのベッドの前で演奏させてください、あなたの睡眠を細かく記録させてください。,다음에는 네 침대 앞에서 연주하게 해줘. 네 수면을 자세히 기록할게.,"Pourquoi ne pas me laisser jouer devant ton lit la prochaine fois, afin que je puisse enregistrer soigneusement ton sommeil ?","Wie wäre es, wenn ich das nächste Mal an deinem Bett spiele und deine Schlafqualität, Einschlafgeschwindigkeit und Schlafdauer detailgenau aufzeichne?",Por que não me deixa tocar na sua cama da próxima vez? Vou registrar seu sono com detalhes,หรือครั้งหน้าให้ฉันบรรเลงเพลงข้างเตียงของคุณดีกว่า แล้วฉันจะจดบันทึกการพักผ่อนของคุณอย่างละเมียดละไมนะ,Bagaimana kalau lain kali aku memainkan musik di samping tempat tidurmu dan mencatat tidurmu secara detail?,"Hay để lần sau tôi đàn cho bạn ngay trước giường, và quan sát giấc ngủ của bạn một cách nhẹ nhàng nhé."
AvgCommunicate_67000_Content_12,acap,avg通讯器聊天表_AvgCommunicate_A_M.csv,1782,AvgCommunicate,Content,哈姆林,我希望你的每一次入睡，都有我的守候。,I hope you fall asleep every time under my protection.,"Я хочу, чтобы каждый раз, когда ты засыпаешь, я был рядом и охранял твой сон.","Espero que cada vez que duermas, tenga mi compañía",あなたの毎回の就寝時、私の見守りがありますように。,나는 당신이 잠드는 매 순간에 내 곁에 있어주기를 바랍니다.,": J'espère que chaque fois que tu t'endors, je serai là en train de veiller sur toi","Ich hoffe, dass du bei jedem Einschlafen auf mich warten wirst","Espero que em cada um dos seus sonhos, eu esteja ao seu lado",ฉันหวังว่าทุกครั้งที่คุณหลับตา จะมีฉันคอยอยู่เคียงข้าง,"Saya harap setiap kali kamu tidur, aku selalu ada untuk menjaga.","Tôi mong rằng mỗi lần bạn chìm vào giấc ngủ, đều có sự hiện diện của tôi bên cạnh."

