CHARACTER,CHARACTER,CHINESE,ENGLISH,ENGLISH->SPANISH,CHINESE->SPANISH,SPANISH
,,鼠鼠的智慧,A Mouse's Wisdom,La sabiduría de un ratón,La sabiduría de las ratas,La sabiduría de un ratón
,,小小心愿,Tiny Wish,Pequeño deseo,Un pequeño deseo,Pequeño deseo
,,永世执念,Obsession Eternal,Obsesión eterna,Obsesión eterna,Obsesión eterna
,,不平等交换,Unequal Exchange,Intercambio desigual,Intercambio desigual,Intercambio desigual
,,不朽的葬仪,Funus Aeternum,Funus Aeternum,Funeral inmortal,Funeral inmortal
,,最后的誓言,The Final Vow,El voto final,El último voto,El voto final
,,奥瑞塔的宝藏,Aurita's Treasure,El tesoro de Aurita,El tesoro de Orita,El tesoro de Aurita
,,咆哮的血与沙,Roaring Blood and Sand,Sangre rugiente y arena,Sangre rugiente y arena,Sangre rugiente y arena
,,短暂的永恒,Ephemeral Eternity,Eternidad efímera,Una breve eternidad,Eternidad efímera
,,腐烂盛筵,Feast of Decay,Fiesta de la decadencia,Fiesta de la decadencia,Fiesta de la decadencia
,,蚀骨的拥抱,Bone-Chilling Embrace,Un abrazo escalofriante,Abrazo que erosiona los huesos,Un abrazo escalofriante
,,湖畔回眸,Lakeside Glimpse,Vistazo al lago,Mirando hacia atrás al lago,Vistazo al lago
,,跨越回溯之扉,Gateway of Retrospection,Puerta de la retrospección,Cruzando la puerta de la retrospección,Puerta de la retrospección
,,灰雾真容,Truth Behind Grey Mist,La verdad detrás de Grey Mist,La verdadera apariencia de Gray Mist,El verdadero rostro de la niebla gris
,,未至遗忘的黎明,Unforgotten Twilight,Crepúsculo inolvidable,El amanecer del olvido,Crepúsculo inolvidable
,,尘封旧忆,Sealed Old Memories,Viejos recuerdos sellados,Recuerdos cubiertos de polvo,Viejos recuerdos sellados
,,仲夏之梦,Midsummer Vision,Visión de pleno verano,Un sueño de verano,Un sueño de verano
,,玫瑰的胜利,Victory of Roses,Victoria de las Rosas,Victoria de la Rosa,Victoria de las Rosas
,,神迹降临,Miracle's Dawn,El amanecer del milagro,Los milagros vienen,El amanecer del milagro
,,巨人的霸道,Giant's Reign,El reinado del gigante,La tiranía de los gigantes,El reinado del gigante
,,全部的她,All of Her,Toda ella,Toda ella,Toda ella
,,唯一的种子,The Lone Seed,La semilla solitaria,La única semilla,La única semilla
,,海之祭,Festival of Tides,Festival de las Mareas,Festival del Mar,Festival del Mar
,,春天的献诗,Spring's Verse,El verso de la primavera,Poemas de primavera,Poemas de primavera
,,月颂,Moon's Anthem,Himno de la luna,Himno de la Luna,Himno de la luna
,,一声枪响,A Gun's Cry,El grito de un arma,Un disparo,Eco de un disparo
,,第四乐章,Symphony Fourth,Cuarta sinfonía,Cuarto movimiento,Cuarta sinfonía
,,群山的觉悟,The Mountains' Resolve,La resolución de las montañas,El despertar de las montañas,La resolución de las montañas
,,门扉的答案,The Gated Answer,La respuesta cerrada,La respuesta a la puerta,La respuesta a la puerta
,,群星的庇佑,Blessing of the Stars,Bendición de las estrellas,Bendición de las estrellas,Bendición de las estrellas
,,虚无瘟疫,Plague of Illusions,Plaga de ilusiones,Plaga del Vacío,Plaga de ilusiones
,,特殊治疗,Sacred Mending,Reparación sagrada,Trato especial,Tratamiento especial
,,不灭的雷光,Undying Thunder,Trueno eterno,Relámpago eterno,El relámpago inmortal
,,错位命运,Derision of Destiny,Burla del destino,Destino fuera de lugar,Destino desalineado
,,残忍的致意,Cruel Homage,Cruel homenaje,Un homenaje cruel,Cruel homenaje
,,猎食决心,Voracious Resolve,Resolución voraz,Determinación de la caza,Resolución voraz
,,一扫而光！,Gobble Up!,¡Engullir!,¡Se fue en un instante!,¡Limpiar de un solo golpe!
,,沉眠,Slumber,Sueño,Dormir,Sueño profundo
,,苏醒,Arouse,Despertar,despertar,Despertar
,,黑天鹅的舞步,Black Swan's Dance,La danza del cisne negro,Danza del cisne negro,La danza del cisne negro
,,逆转回合,My Turn,Mi turno,Ronda de reversión,Mi turno
,,重击,Heavy Blow,Golpe fuerte,Ataque pesado,Golpe fuerte
,,出血,Bleed,Sangrar,Sangría,Sangrar
,,猩红熔炉,Crimson Furnace,Horno Carmesí,Horno Carmesí,Horno Carmesí
,,湮灭,Annihilation,Aniquilación,Aniquilación,Aniquilación
,,复仇宣言,Vengeance Upon Thee,La venganza sobre ti,Declaración de venganza,Declaración de venganza
,,战欲难平,Battle Thirst,Sed de batalla,El deseo de luchar es difícil de calmar.,Sed de batalla
,,桀骜之刃,Blade of Defiance,Hoja de desafío,Espada desafiante,Espada desafiante
,,恣睢之浪,Tides of Hubris,Mareas de arrogancia,Olas desenfrenadas,Oleaje desenfrenado
,,黑泥冲蚀,Corrosive Sludge,Lodos corrosivos,Erosión por lodo negro,Lodos corrosivos
,,展翼,Wings Unfurled,Alas desplegadas,Alas extendidas,Alas desplegadas
,,双翼初张,Twin Wings,Alas gemelas,Alas extendidas,Alas gemelas
,,四翼渐生,Four Wings,Cuatro alas,Cuatro alas crecen gradualmente,Cuatro alas crecientes
,,六翼满开,Six Wings,Seis Alas,Seis alas completamente abiertas,Seis alas abiertas
,,执念,Obsession,Obsesión,Obsesión,Obsesión
,,亵渎假象,Desecrate Illusion,Profanar la ilusión,Ilusión blasfema,Falsa profanación
,,裂伤,Laceration,Laceración,laceración,Laceración
,,幻觉,Phantasm,Fantasma,alucinaciones,Alucinación
,,蜡像馆钥匙,Wax Museum's Key,La llave del Museo de Cera,Llave del Museo de Cera,Llave del Museo de Cera
詹金,#REF!,逃跑,Escape,Escapar,escapar,Escapar
,,高级灵感,Adv. Insight,Adv. Insight,Inspiración avanzada,Inspiración avanzada
,,伤口,Wound,Herida,Herida,Herida
,,惊厥,Convulsion,Convulsión,convulsiones,Convulsión
,,警觉,Vigilance,Vigilancia,vigilancia,Vigilancia
,,黏糊糊的蜡油,Sticky Wax,Cera pegajosa,Cera pegajosa,Cera pegajosa
,,蹒跚,Stagger,Escalonar,tropezón,Tambaleo
,,我不是木偶,I'm Not a Puppet,No soy una marioneta,No soy una marioneta,No soy una marioneta
,,渐渐石化,Gradually Petrify,Petrificarse gradualmente,Gradualmente petrificado,Petrificarse gradualmente
,,石头,Stone,Piedra,Piedra,Piedra
,,救救我,Help Me!,¡Ayúdame!,Ayúdame,¡Ayúdame!
,,大石头,Big Rock,Gran roca,Gran piedra,Gran roca
,,尖木头,Sharp Stake,Estaca afilada,madera afilada,Estaca afilada
,,深土坑,The Deep Pit,El pozo profundo,pozo profundo,Pozo profundo
,,哭喊,Cry Out,Gritar,Llanto,Gritar
,,哭喊！,Cry Out!,¡Gritar!,¡Llorar!,¡Gritar!
,,哭喊！！,Cry Out!!,¡¡Gritar!!,¡¡Llorar!!,¡¡Gritar!!
,,哭喊！！！,Cry Out!!!,¡¡¡Gritar!!!,¡¡¡Llorar!!!,¡¡¡Gritar!!!
,,哭喊！！！！,Cry Out!!!!,¡¡¡¡Gritar!!!!,¡¡¡¡Llorar!!!!,¡¡¡¡Gritar!!!!
,,未被满足之痛,Pain of Unfulfilled Desires,El dolor de los deseos insatisfechos,El dolor de no estar satisfecho,El dolor de los deseos insatisfechos
「24」,24,救救她！,Save Her!,¡Salvala!,¡Salvadla!,¡Salvadla!
,,蜂蜜甜酒,Honey Mead,Miel y hidromiel,vino de miel,Hidromiel
,,融蚀浆,D-Slime,D-Slime,Lodo de ablación,Lodo-D
,,不竭战意,Unyielding Will,Voluntad inquebrantable,Espíritu de lucha sin fin,Voluntad inquebrantable
,,不竭战意β,Unyielding Will β,Voluntad inquebrantable β,Lucha sin fin Will β,Voluntad inquebrantable β
,,躲藏,Hide,Esconder,esconder,Esconder
,,躲藏β,Hideβ,Hideβ,Ocultando β,Esconder β
,,莱克的幸运骰子,Ryker's Lucky Dice,Dados de la suerte de Ryker,Los dados de la suerte del lago,Dados de la suerte de Ryker
,,银钥共鸣,Silver Key Resonance,Resonancia de llave de plata,Resonancia de llave de plata,Resonancia de llave Plateada
,,窒息,Suffocation,Asfixia,asfixia,Asfixia
,,枷锁：掌政官夫人,Shackles: Lady Governor,Grilletes: Señora Gobernadora,Grilletes: La esposa del funcionario,Grillete: Señora del Gobernante
,,枷锁：受刑的奴隶,Shackles: Tortured Slave,Grilletes: Esclavo torturado,Grilletes: esclavos torturados,Grilletes: Esclavo torturado
,,枷锁：复苏的圣女,Shackles: Divine Maiden Returns,Shackles: El regreso de la doncella divina,Grilletes: El Santo Resucitado,Grillete: La Santa Resucitada
,,枷锁：彷徨的利刃,Shackles: Blade Adrift,Grilletes: Hoja a la deriva,Grilletes: Hoja errante,Grillete: Hoja Errante
,,巨人之畏,Giant's Fear,El miedo del gigante,Miedo a los gigantes,Miedo a los gigantes
,,潮涌,Surging Tides,Mareas crecientes,Marea,Marea creciente
,,静海,Tranquil Sea,Mar tranquilo,Jinghai,Mar en calma
,,怒涛,Raging Waves,Olas furiosas,olas furiosas,Olas furiosas
,,银钥曦光,Silver Key Dawn,Amanecer de llave plateada,Amanecer de llave plateada,Amanecer de llave plateada
,,银钥微光,Silver Key Gleam,Brillo de llave plateada,Destello de llave plateada,Destello de llave plateada
,,神国的虔信,Faith of the Divine Realm,Fe del Reino Divino,Fe en el Reino de Dios,Devoto del reino divino
,,神国的呼唤,Call of the Divine Realm,Llamado del Reino Divino,El llamado del Reino de Dios,Llamado del Reino Divino
,,神国的降临,Divine Realm's Descent,El Descenso del Reino Divino,La venida del Reino de Dios,Descenso del Reino Divino
,,温暖的家庭,A Warm Family,Una familia cálida,Familia cálida,Familia cálida
,,诚挚的朋友,Sincere Friend,Amigo sincero,Amigo sincero,Amigo sincero
,,安定的生活,A Peaceful Life,Una vida pacífica,Vida estable,Vida estable
,,天真的回礼,Innocent Return Gift,Regalo de retorno inocente,Regalo de retorno inocente,Regalo de retorno inocente
,,畸变之心,Mutated Heart,Corazón mutado,Corazón distorsionado,Corazón distorsionado
,,乌托邦帷幕,Utopian Veil,Velo utópico,Cortina de utopía,Cortina de utopía
,,无尽银芯宝库,Infinite Silver Vault,Bóveda de plata infinita,Casa del tesoro con núcleo de plata sin fin,Tesoro de Núcleo de Plata Infinito
,,光锥界限,Light Cone Boundary,Límite del cono de luz,Límite del cono de luz,Límite del cono de luz
,,猜疑,Suspicion,Sospecha,sospecha,Sospecha
,,主动约束,Active Constraint,Restricción activa,Restricciones activas,Restricciones activas
,,理性交涉,Rational Negotiation,Negociación racional,Negociación racional,Negociación racional
,,置之不理,Ignore,Ignorar,Ignorar,Ignorar
,,全力配合,Full Cooperation,Plena cooperación,Plena cooperación,Plena cooperación
,,暗淡的人性光辉,Glow of Humanity,Resplandor de la humanidad,La tenue luz de la humanidad,Tenue resplandor de la humanidad
,,微明的人性光辉,Flicker of Humanity,Un destello de humanidad,El destello de la humanidad,Un destello de humanidad
,,人性光辉,Humanity,Humanidad,La brillantez de la naturaleza humana,Resplandor humano
,,闪耀的人性光辉,Radiance of Humanity,Resplandor de la humanidad,La luz brillante de la humanidad,Resplandor brillante de la humanidad
,,璀璨的人性光辉,Brilliance of Humanity,La brillantez de la humanidad,La brillante luz de la humanidad,Fulgor brillante de la humanidad
,,群星之酒,Stellar Brew,Cerveza estelar,Vino de las estrellas,Licor estelar
,,失落之美,Beauty in Loss,La belleza en la pérdida,La belleza de lo perdido,La belleza de lo perdido
,,无上荣宠,Highest Honor,El más alto honor,Honor y favor supremos,El más alto honor
,,春之祭,Rite of Spring,Consagración de la primavera,La consagración de la primavera,Consagración de la primavera
,,恶童,Malignant Child,Niño maligno,Niño malvado,Niño malvado
,,人鱼泪珠,Siren's Tear,Lágrima de sirena,Lágrimas de sirena,Lágrimas de sirena
,,活性注射器,Vitality Injection,Inyección de vitalidad,Jeringa activa,Inyección Activa
,,崭新的钱包,Brand-New Wallet,Cartera nueva,Cartera nueva,Cartera nueva
,,精密计时器,Chronometric Device,Dispositivo cronométrico,Temporizador de precisión,Cronómetro preciso
,,残缺面孔,Broken Visage,Rostro roto,Cara mutilada,Rostro incompleto
,,快乐唱片,Joyous Record,Disco alegre,Happy Records,Disco alegre
,,行道之骸,Pathwalker's Remains,Restos del caminante del camino,El cadáver de la carretera,Cadáver de la carretera
,,变色拘束服β,Shifting Straitjacket β,Camisa de fuerza cambiante β,Traje de sujeción que cambia de color β,Camisa de fuerza cambiante β
,,怀表镜β,Pocketwatch Mirror β,Espejo de reloj de bolsillo β,Espejo de reloj de bolsillo β,Espejo de reloj de bolsillo β
,,通讯设备β,Signal Relay β,Relé de señal β,Equipo de comunicación β,Equipo de comunicación β
,,重锁,Iron Lock,Cerradura de hierro,Volver a bloquear,Candado reforzado
,,节日祝福,Festive Benediction,Bendición festiva,Saludos festivos,Bendiciones festivas
,,弥萨格徽章,Mythag Insignia,Insignia de Mythag,Insignia de Missage,Insignia de Mythag
,,文明之光,Light of Civilization,Luz de la Civilización,Luz de la Civilización,Luz de la Civilización
,,鸽羽扇,Dove Feather Fan,Abanico de plumas de paloma,Abanico de plumas de paloma,Abanico de plumas de paloma
,,白鸦喙,Ivory Raven Beak,Pico de cuervo marfil,pico de cuervo blanco,pico de cuervo blanco
,,医生手提箱,Doctor's Case,Caso del médico,maletín del médico,Maletín  médico
,,失衡的天平,Tilted Scales,Escalas inclinadas,balanzas desequilibradas,Balanza inestable
,,美丽瞬间β,Fleeting Beauty β,Belleza fugaz β,Hermoso momento β,Momento hermoso β
,,缠丝玛瑙,Filigree Agate,Ágata de filigrana,Sardónice,Ágata enredada
,,美学原理,Principles of Aesthetics,Principios de la estética,Principios estéticos,Principios estéticos
,,失声唱机,Mute Jukebox,Silenciar Jukebox,Grabadora de voz perdida,Grabadora de voz perdida
,,定向罗盘,True North Compass,Brújula del norte verdadero,Brújula de orientación,Brújula de orientación
,,异乡邮票夹,Foreign Stamp Album,Álbum de sellos extranjeros,Carpeta de sellos extranjeros,Carpeta de sellos extranjeros
,,怪蛇残蜕,Serpent's Husk,Cáscara de serpiente,Extraño pantano de serpientes,Extraña muda de serpiente
,,锈蚀柳叶刀,Rusty Lancet,Lanceta oxidada,Lanceta oxidada,Escalpelo corroído
,,祭司权杖,Hierophant's Staff,Bastón del Hierofante,Cetro del sacerdote,Cetro del sacerdote
,,求知读书轮,Knowledge Wheel,Rueda del conocimiento,Rueda de lectura en busca de conocimiento,Rueda del conocimiento
,,阿尔卡纳记录,Arcana Archive,Archivo Arcano,Registros Arcanos,Archivo Arcano
,,原型电池,Proto Battery,Batería Proto,Batería prototipo,Batería prototipo
,,在夕光里,In Twilight,En el crepúsculo,En la puesta de sol,Bajo el crepusculo
,,我们的家,Our Home,Nuestro hogar,Nuestro hogar,Nuestro hogar
,,日月轮盘,Solar Disc,Disco solar,Ruleta del Sol y la Luna,Rueda solar-lunar
,,被遗忘者之血,Forsaken Blood,Sangre abandonada,Sangre de los Desamparados,Sangre de los Desamparados
,,无名之神的面纱,Veil of the Nameless Deity,Velo de la Deidad sin Nombre,Velo del Dios sin nombre,Velo del Dios sin nombre
,,群氓之歌,Mob Song,Canción de la mafia,Canción de la multitud,Canto del populacho
,,万象灵知秘仪,Gnosis Device,Dispositivo de Gnosis,El ritual secreto del espíritu que todo lo ve,Dispositivo de Gnosis
,,小小襁褓,Tiny Cradle,Pequeña cuna,Pequeño envoltorio,Manto infantil
,,沉重画框,Gilded Frame,Marco dorado,Marco de fotos pesado,Marco dorado
,,蛊惑风铃,Enthralling Chime,Campanilla fascinante,Carillón de viento encantador,Campana engañosa
,,古怪钩爪,Eerie Hook,Gancho espeluznante,Gancho extraño,Gancho espeluznante
,,厄运仪式鸟,Omen Ritual Bird,Pájaro ritual de presagio,Pájaro ritual de la perdición,Pájaro ritual de la perdición
,,诡术礼帽,Trickster's Hat,Sombrero del embaucador,Sombrero de engaño,Sombrero del engaño
,,黑烛,Black Candle,Vela negra,Vela negra,Vela negra
,,时灵摆·眼,Chrono Pendulum: Eye,Péndulo Crono: Ojo,Ojo del péndulo del tiempo,Péndulo temporal: Ojo
,,时灵摆·羽翼,Chrono Pendulum: Wings,Péndulo Crono: Alas,Péndulo del Tiempo: Alas,Péndulo temporal: Alas
,,时灵摆·双生,Chrono Pendulum: Twins,Péndulo del Crono: Gemelos,Péndulos gemelos del tiempo,Péndulo temporal: Gemelo
,,时灵摆·移涌,Chrono Pendulum: Surge,Péndulo Crono: Surge,Péndulo del tiempo·Mover,Péndulo temporal: Flujo móvil
,,时灵摆·不洁,Chrono Pendulum: Unclean,Péndulo del Crono: Impuro,Péndulo del Tiempo: Impuro,Péndulo temporal: Impuro
,,时灵摆·不眠,Chrono Pendulum: Sleepless,Chrono Pendulum: Sin dormir,Péndulo del tiempo · Sin dormir,Péndulo temporal: Insomne
,,时灵摆·投射,Chrono Pendulum: Projection,Péndulo Crono: Proyección,Proyección del péndulo del tiempo,Péndulo temporal: Proyección
,,时灵摆·衍化,Chrono Pendulum: Evolution,Péndulo Crono: Evolución,Péndulo del tiempo·Evolución,Péndulo temporal: Evolución
,,受祝·噩梦表象β,Blessed: Nightmare Manifest β,Bendito: Pesadilla Manifiesta β,Apariencia de pesadilla bendita β,Bendito: Manifestación de pesadilla β
,,受祝·虫群意识,Blessed: Swarm Mind,Bendito: Mente de enjambre,Conciencia del Enjambre Bendito,Bendito: Conciencia de enjambre
,,受祝·厄运仪式鸟,Blessed: Omen Ritual Bird,Bendito: Pájaro ritual de presagio,Pájaro ritual de la perdición bendita,Bendito: Ave del rito funesto
,,受祝·意识铭刻β,Blessed: Mind Engraving β,Bendito: Grabado Mental β,Huella de Conciencia Bendita β,Bendito: Inscripción de conciencia β
,,受祝·古怪钩爪,Blessed: Eerie Hook,Bendito: Eerie Hook,Garra extraña bendita,Bendito: Garra bizarra
,,受祝·七鳃鳗之吻,Blessed: Lamprey Kiss,Bendito: Beso de Lamprea,Beso de lamprea bendita,Bendito: Beso de la anguila abisal
,,受祝·黑烛,Blessed: Black Candle,Bendita: Vela Negra,Vela Negra Bendita,Bendito: Vela oscura
,,受祝·行道之骸,Blessed: Pathwalker's Remains,Benditos: Restos del Caminante del Camino,Esqueleto bendecido y andante,Bendito: Esqueleto errante
,,群星之酒+,Stellar Brew+,Cerveza estelar+,Vino estrella+,Licor Estelar +
,,通讯设备+β,Signal Relay +β,Relé de señal +β,Equipo de comunicación + β,Equipo de comunicación + β
,,日月轮盘+,Solar Disc+,Disco solar+,Ruleta del Sol y la Luna+,Rueda solar-lunar + 
,,祭司权杖+,Hierophant's Staff +,Bastón del Hierofante +,Cetro del sacerdote+,Cetro del sacerdote +
,,褪色照片+,Faded Photo+,Foto descolorida+,Fotos descoloridas+,Fotos descoloridas +
,,银白差分机,Differential Engine,Motor diferencial,Motor de diferencia de plata,Motor diferencial
,,群氓之歌+,Mob Song +,Canción de la mafia +,Canción de la mafia+,Canto del populacho +
,,太阳,Sun,Sol,sol,Sol
,,星星,Stars,Estrellas,Estrella,Estrellas
,,春天,Spring,Primavera,primavera,Primavera
,,诗句,Verse,Versículo,versículo,Versículo
,,蝴蝶,Butterfly,Mariposa,Mariposa,Mariposa
,,云朵,Cloud,Nube,nubes,Nube
,,风,Wind,Viento,viento,Viento
,,森林,Forest,Bosque,bosque,Bosque
,,雪,Snow,Nieve,nieve,Nieve
,,花束,Bouquet,Ramo,ramo,Ramo
,,猫,Cat,Gato,gato,Gato
,,大地,Earth,Tierra,Tierra,Tierra
,,泉水,Spring Water,Agua de manantial,primavera,Agua de manantial
,,月亮,Moon,Luna,luna,Luna
,,献诗,Offering,Ofrenda,Dedicación,Dedicar
,,极夜微光,Polar Dusklight,Atardecer polar,Resplandor nocturno polar,Atardecer polar
,,眩晕,Stun,Aturdir,mareo,Aturdir
,,凝滞,Stagnation,Estancamiento,estancarse,Estancamiento
,,凝视,Gaze,Mirada,mirada,Fijar Mirada
,,亵渎,Desecrate,Profanar,blasfemia,Profanar
,,等待,The Vigil,La Vigilia,esperar,Aguardar
,,寒气打击,Frost Strike,Golpe de escarcha,Golpe de frío,Golpe helado
,,蜡油,Wax Oil,Aceite de cera,aceite de cera,Aceite de cera
,,手术准备,Surgical Preparation,Preparación quirúrgica,preparación quirúrgica,Preparación quirúrgica
,,手术切割,Surgical Cut,Corte quirúrgico,incisión quirúrgica,Incisión quirúrgica
,,全体力量,Team Strength,Fuerza del equipo,Fuerza total,Fuerza Total
,,毒素,Toxin,Toxina,toxina,Toxina
,,全体屏障,Team Barrier,Equipo Barrera,Barrera general,Barrera Total
,,创伤重击,Trauma Strike,Huelga de trauma,Golpe traumático,Golpe Traumatico
,,创伤猛击,Trauma Blow,Golpe traumático,Golpe traumático,Golpe Traumatico Potente
,,BOOM！,BOOM!,¡AUGE!,¡AUGE!,BOOM！
,,冰盾打击,Frost Shield Strike,Golpe de escudo de escarcha,Golpe de escudo de hielo,Golpe de Escudo Helado
,,融蚀进化,Dissolution Evolution,Evolución de la disolución,Evolución de la fusión,Evolución Corrosiva
,,维度封锁,Dimensional Lock,Bloqueo dimensional,Bloqueo dimensional,Bloqueo dimensional
,,垂死之挣,Death Throes,Estertores de muerte,Lucha agonizante,Lucha agonizante
,,践踏,Trample,Pisotear,pisotear,Pisotear
,,连续撕咬,Continuous Bites,Bocados continuos,Mordida continua,Bocados continuos
,,疯狂,Madness,Locura,loco,Aliemus
,,觉醒,Awaken,Despertar,Despertar,Despertar
,,维度雾气,Dimensional Mist,Niebla dimensional,Niebla dimensional,Niebla dimensional
,,深海呼唤,Deep Sea's Calling,El llamado de las profundidades marinas,Llamada de las profundidades,Llamada de las profundidades
,,分裂,Split,Dividir,Dividir,Dividir
,,维度空洞,Dimensional Void,Vacío dimensional,Vacío dimensional,Vacío dimensional
,,远古的呼唤,Ancient Ones' Call,El llamado de los antiguos,La llamada de los antiguos,El llamado de los antiguos
,,狂气吸收,Aliemus Absorb,Absorber Aliemus,Absorción de la locura,Absorber Aliemus
,,分裂打击,Split Strike,Huelga dividida,Huelga de división,Ataque Fragmentado
,,全体强化,Team Enhance,Mejora del equipo,Fortalecimiento general,Fortalecimiento general
,,维度分形,Dimensional Fractals,Fractales dimensionales,Fractales dimensionales,Fractales dimensionales
,,维度之锁,Dimensional Lock,Bloqueo dimensional,Bloqueo de dimensión,Bloqueo dimensional
,,维度防壁,Dimensional Barrier,Barrera dimensional,Protección de pared dimensional,Barrera dimensional
,,蜡像登场,Wax Sculpture Debuts,Debut de la escultura de cera,Aparece una figura de cera,Aparece una figura de cera
,,隆重的接待,Grand Reception,Gran recepción,Gran recepción,Gran recepción
,,撕裂打击,Rending Strike,Golpe desgarrador,Golpe de desgarro,Golpe desgarrador
,,召唤和强化,Summon and Enhance,Invocar y mejorar,Invocar y fortalecer,Invocar y mejorar
,,自毁攻击,Self-Destruct Attack,Ataque de autodestrucción,Ataque de autodestrucción,Ataque de autodestrucción
,,回复,Healing,Cicatrización,responder,Recuperación
,,扭曲的死体狂宴-混沌,Twisted Carrion Revel - Chaos,Deleite de Carroña Retorcida - Caos,Festín de muertos retorcidos - Caos,Banquete de cadáveres retorcidos – Chaos
,,扭曲的死体狂宴-深海,Twisted Carrion Revel - Aequor,Deleite de Carroña Retorcida - Aequor,Festín de cadáveres retorcidos - Mar profundo,Banquete de cadáveres retorcidos – Aequor
,,扭曲的死体狂宴-血肉,Twisted Carrion Revel - Caro,Deleite de carroña retorcida - Caro,Festín de cadáveres retorcidos - Carne y sangre,Banquete de cadáveres retorcidos – Caro
,,扭曲的死体狂宴-超维,Twisted Carrion Revel - Ultra,Deleite de Carroña Retorcida - Ultra,Festín de cadáveres retorcidos - Súper dimensión,Banquete de cadáveres retorcidos – Ultra
,,纷乱切割-躁狂,Frenzied Slash - Mania,Corte frenético - Manía,Manía caótica de corte,Corte frenético - Manía
,,纷乱切割,Frenzied Slash,Corte frenético,Corte caótico,Corte frenético
,,异种共生,Symbiotic Aberration,Aberración simbiótica,Simbiosis,Aberración simbiótica
,,恍然如我,Am I or Am I Not?,¿Soy o no soy?,Me parece a mí,¿Soy o no soy?
,,狂躁人格,Manic Personality,Personalidad maníaca,personalidad maníaca,Personalidad maníaca
,,灼燃蜡滴之欲,Wax-Hot Desire,Deseo ardiente de cera,Deseo ardiente,Deseo ardiente de cera
,,狂气使役之鞭,Whip of Madness,Látigo de la locura,Látigo del sirviente loco,Látigo de la locura
,,施与受,Give and Take,Tomar y sacar,Dar y recibir,Dar y recibir
,,不灭之花,Eternal Flower,Flor eterna,Flor eterna,Flor eterna
,,黑沼禁域,Forbidden Swamp,Pantano Prohibido,Área Prohibida del Pantano Negro,Pantano Prohibido
,,粘液汇集,Slime Convergence,Convergencia de limo,Acumulación de moco,Convergencia de Lodo
,,苦痛,Agony,Agonía,dolor,Agonía
,,欢愉,Joy,Alegría,Alegría,Alegría
,,血,Blood,Sangre,Sangre,Sangre
,,苦痛与血,Agony and Blood,Agonía y sangre,Dolor y sangre,Agonía y sangre
,,欢愉与血,Pleasure and Blood,Placer y sangre,Alegría y sangre,Placer y sangre
,,渴血者,Sanguivore,Sanguívoro,Devorador de sangre,Sanguívoro
,,颅骨猛击,Cranial Storm,Tormenta craneal,Golpe de calavera,Golpe al cráneo
,,愧意之海,Sea of Guilt,Mar de culpa,Mar de culpa,Mar de culpa
,,集结鼠群,Mice Assemble,Los ratones se reúnen,Reúne a las ratas,Reunir a las ratas
,,鼠群冲击,Swarm Impact,Impacto de enjambre,Enjambre de ratas,Embestida de ratas
,,布朗出动！,Get 'em! Brown!,¡A por ellos! ¡Marrón!,¡Brown está fuera!,¡A por ellos Brown!
,,致伤打击,Wounding Strike,Golpe hiriente,Golpe hiriente,Golpe hiriente
,,脆弱打击,Fragile Strike,Huelga frágil,Golpe vulnerable,Ataque Fragil
,,空间折叠,Spatial Fold,Pliegue espacial,Plegado espacial,Plegado del espacio
,,斩首重创,Decapitation Damage,Daños por decapitación,Decapitación,Daño por decapitación
,,强者为尊,Law of the Strongest,Ley del más fuerte,Los fuertes son respetados,El fuerte prevalece
,,巨刃之威-血,Greatblade's Might - Blood,Poder de la Gran Espada - Sangre,Poder de la Espada Gigante-Sangre,Poder de la gran espada – Sangre
,,巨刃之威-力,Greatblade's Might - Strength,Poder de la Gran Espada - Fuerza,El poder de la espada gigante,Poder de la gran espada – Fuerza
,,巨刃之威-终,Greatblade's Might - Finale,El poder de la gran espada - Final,Extremo de potencia de la hoja gigante,Poder de la gran espada – Final
,,复仇预行,Preemptive Revenge,Venganza preventiva,Premonición de venganza,Venganza preventiva
,,凝滞诅咒,Stagnant Curse,Maldición estancada,La maldición de la estasis,Maldición estancada
,,小小愿望,A Small Wish,Un pequeño deseo,Un pequeño deseo,Un pequeño deseo
,,石质分解,Decomposition,Descomposición,Descomposición de la piedra,Descomposición
,,真·万古之眸,Eye of Eternity EX,Ojo de la Eternidad EX,Verdaderos ojos eternos,Ojo Verdadero de la Eternidad
,,断念,Renunciation,Renuncia,Abandonar,Renuncia
,,吸收,Absorb,Absorber,absorber,Absorber
,,呼唤,Call,Llamar,llamar,Llamar
,,残次品的怨念,Ire of the Flawed Creation,La ira de la creación defectuosa,Resentimiento por productos defectuosos,Rencor del producto defectuoso
,,缝合品的狂怒,Fury of of the Stitched,Furia de los Cosidos,La furia de Stitch,Furia de los Cosidos
,,狂怒,Fury,Furia,furioso,Furia
,,牺牲,Sacrifice,Sacrificio,sacrificio,Sacrificio
,,恨意吞噬,Hate Devours,El odio devora,Devorado por el odio,Engullir el odio
,,侵蚀之视,Gaze of Erosion,Mirada de la erosión,Visión de la erosión,Mirada de la erosión
,,破链一击,Shattering Strike,Golpe devastador,Golpe de rotura de cadena,Golpe rompecadenas
,,捶打,Pound,Libra,derrotar,Golpear
,,封印,Sealed,Sellado,sellado,Sellado
,,追猎,Pursuit,Buscar,Caza,Perseguir
